sentiment_label,sentiment_score,sentiment_polarity,fatigue_total,fatigue_word_density,fatigue_physical,fatigue_mental,fatigue_schedule,fatigue_injury,fatigue_motivation,avg_sentence_len,type_token_ratio,first_person_rate,negation_rate,word_count,llm_fatigue_label,llm_fatigue_confidence,llm_reason,nlp_processed
POSITIVE,0.9996346235275269,0.9996,0,0.0,0,0,0,0,0,13.13,0.4543,0.0761,0.0,394,,,,1
NEGATIVE,0.020097121596336365,-0.0201,0,0.0,0,0,0,0,0,17.13,0.2565,0.0649,0.0088,1696,,,,1
POSITIVE,0.9992870688438416,0.9993,1,0.4367,0,0,1,0,0,8.07,0.469,0.0487,0.0177,226,,,,1
POSITIVE,0.9995086193084717,0.9995,0,0.0,0,0,0,0,0,13.57,0.6316,0.0526,0.0,95,,,,1
POSITIVE,0.982714831829071,0.9827,1,0.1637,0,0,1,0,0,15.15,0.3762,0.0644,0.0083,606,,,,1
POSITIVE,0.9998821020126343,0.9999,0,0.0,0,0,0,0,0,15.2,0.6053,0.0789,0.0,76,,,,1
POSITIVE,0.9893367290496826,0.9893,2,1.3699,1,0,0,1,0,14.6,0.6301,0.1027,0.0068,146,,,,1
NEGATIVE,0.9989620447158813,-0.999,3,1.7045,0,0,0,3,0,13.38,0.5517,0.1149,0.0172,174,,,,1
POSITIVE,0.999478280544281,0.9995,0,0.0,0,0,0,0,0,12.0,0.8,0.15,0.0167,60,,,,1
NEGATIVE,0.9112450480461121,-0.9112,0,0.0,0,0,0,0,0,16.56,0.3652,0.0632,0.0042,712,,,,1
POSITIVE,0.9706242084503174,0.9706,1,0.128,0,0,0,1,0,10.21,0.357,0.0593,0.0064,776,,,,1
NEGATIVE,0.5980269759893417,-0.598,1,0.0806,0,0,0,0,1,13.72,0.2842,0.0632,0.0073,1235,,,,1
POSITIVE,0.9993465542793274,0.9993,0,0.0,0,0,0,0,0,17.0,0.6824,0.0588,0.0,85,,,,1
POSITIVE,0.5376485735177994,0.5376,1,0.0612,1,0,0,0,0,16.74,0.2217,0.0757,0.0049,1624,,,,1
POSITIVE,0.9983140230178833,0.9983,0,0.0,0,0,0,0,0,12.88,0.6505,0.1165,0.0097,103,,,,1
POSITIVE,0.9819602817296982,0.982,1,0.0655,0,0,1,0,0,17.0,0.2796,0.0753,0.002,1513,,,,1
POSITIVE,0.4703977704048157,0.4704,2,0.0789,0,0,0,0,2,15.76,0.2135,0.0782,0.006,2506,,,,1
POSITIVE,0.9954041838645935,0.9954,0,0.0,0,0,0,0,0,10.76,0.4523,0.098,0.0176,398,,,,1
POSITIVE,0.9998375177383423,0.9998,0,0.0,0,0,0,0,0,11.33,0.8824,0.1176,0.0,34,,,,1
POSITIVE,0.3865443468093872,0.3865,1,0.1068,0,0,0,1,0,11.57,0.3402,0.067,0.0194,926,,,,1
POSITIVE,0.9998284578323364,0.9998,1,1.0204,1,0,0,0,0,10.78,0.5773,0.1237,0.0,97,,,,1
POSITIVE,0.03675183653831482,0.0368,1,0.1901,1,0,0,0,0,9.91,0.3829,0.101,0.0038,525,,,,1
