slam_name,surface,round_num,best_of,rank,opp_rank,rank_ratio,log_rank_diff,is_underdog,rank_bin,ctfi,upset,surface_Clay,surface_Grass,surface_Hard
US Open,Hard,3.0,5,48.0,63.0,0.7619047619047619,-2.772588722239781,0,top100,0,0,0,0,1
US Open,Hard,3.0,5,63.0,48.0,1.3125,2.772588722239781,1,top100,0,0,0,0,1
US Open,Hard,3.0,5,2.0,47.0,0.0425531914893617,-3.828641396489095,0,top10,0,0,0,0,1
US Open,Hard,3.0,5,47.0,2.0,23.5,3.828641396489095,1,top100,0,0,0,0,1
US Open,Hard,3.0,5,1.0,88.0,0.011363636363636364,-4.477336814478207,0,top10,1,0,0,0,1
US Open,Hard,3.0,5,88.0,1.0,88.0,4.477336814478207,1,top100,2,0,0,0,1
US Open,Hard,3.0,5,33.0,92.0,0.358695652173913,-4.0943445622221,0,top100,2,0,0,0,1
US Open,Hard,3.0,5,92.0,33.0,2.787878787878788,4.0943445622221,1,top100,2,0,0,0,1
US Open,Hard,3.0,5,21.0,79.0,0.26582278481012656,-4.07753744390572,0,top30,1,0,0,0,1
US Open,Hard,3.0,5,79.0,21.0,3.761904761904762,4.07753744390572,1,top100,2,0,0,0,1
US Open,Hard,3.0,5,42.0,16.0,2.625,3.295836866004329,1,top100,1,1,0,0,1
US Open,Hard,3.0,5,16.0,42.0,0.38095238095238093,-3.295836866004329,0,top30,2,1,0,0,1
US Open,Hard,3.0,5,14.0,36.0,0.3888888888888889,-3.1354942159291497,0,top30,2,0,0,0,1
US Open,Hard,3.0,5,36.0,14.0,2.5714285714285716,3.1354942159291497,1,top100,1,0,0,0,1
US Open,Hard,3.0,5,44.0,19.0,2.3157894736842106,3.258096538021482,1,top100,2,1,0,0,1
US Open,Hard,3.0,5,19.0,44.0,0.4318181818181818,-3.258096538021482,0,top30,2,1,0,0,1
US Open,Hard,3.0,5,41.0,87.0,0.47126436781609193,-3.8501476017100584,0,top100,2,0,0,0,1
US Open,Hard,3.0,5,87.0,41.0,2.1219512195121952,3.8501476017100584,1,top100,2,0,0,0,1
US Open,Hard,3.0,5,8.0,56.0,0.14285714285714285,-3.8918202981106265,0,top10,1,0,0,0,1
US Open,Hard,3.0,5,56.0,8.0,7.0,3.8918202981106265,1,top100,2,0,0,0,1
US Open,Hard,3.0,5,4.0,194.0,0.020618556701030927,-5.25227342804663,0,top10,1,0,0,0,1
US Open,Hard,3.0,5,194.0,4.0,48.5,5.25227342804663,1,outside100,1,0,0,0,1
US Open,Hard,3.0,5,72.0,142.0,0.5070422535211268,-4.2626798770413155,0,top100,1,0,0,0,1
US Open,Hard,3.0,5,142.0,72.0,1.9722222222222223,4.2626798770413155,1,outside100,1,0,0,0,1
US Open,Hard,3.0,5,60.0,64.0,0.9375,-1.6094379124341003,0,top100,2,0,0,0,1
US Open,Hard,3.0,5,64.0,60.0,1.0666666666666667,1.6094379124341003,1,top100,1,0,0,0,1
US Open,Hard,3.0,5,37.0,107.0,0.34579439252336447,-4.2626798770413155,0,top100,2,0,0,0,1
US Open,Hard,3.0,5,107.0,37.0,2.891891891891892,4.2626798770413155,1,outside100,2,0,0,0,1
US Open,Hard,3.0,5,10.0,71.0,0.14084507042253522,-4.127134385045092,0,top10,2,0,0,0,1
US Open,Hard,3.0,5,71.0,10.0,7.1,4.127134385045092,1,top100,2,0,0,0,1
US Open,Hard,3.0,5,20.0,58.0,0.3448275862068966,-3.6635616461296463,0,top30,1,0,0,0,1
US Open,Hard,3.0,5,58.0,20.0,2.9,3.6635616461296463,1,top100,1,0,0,0,1
US Open,Hard,3.0,5,38.0,32.0,1.1875,1.9459101490553132,1,top100,1,1,0,0,1
US Open,Hard,3.0,5,32.0,38.0,0.8421052631578947,-1.9459101490553132,0,top100,1,1,0,0,1
US Open,Hard,3.0,5,5.0,86.0,0.05813953488372093,-4.406719247264253,0,top10,1,0,0,0,1
US Open,Hard,3.0,5,86.0,5.0,17.2,4.406719247264253,1,top100,1,0,0,0,1
US Open,Hard,3.0,5,7.0,108.0,0.06481481481481481,-4.624972813284271,0,top10,1,0,0,0,1
US Open,Hard,3.0,5,108.0,7.0,15.428571428571429,4.624972813284271,1,outside100,1,0,0,0,1
US Open,Hard,3.0,5,54.0,26.0,2.076923076923077,3.367295829986474,1,top100,2,1,0,0,1
US Open,Hard,3.0,5,26.0,54.0,0.48148148148148145,-3.367295829986474,0,top30,1,1,0,0,1
US Open,Hard,3.0,5,66.0,24.0,2.75,3.7612001156935624,1,top100,2,1,0,0,1
US Open,Hard,3.0,5,24.0,66.0,0.36363636363636365,-3.7612001156935624,0,top30,1,1,0,0,1
US Open,Hard,3.0,5,82.0,147.0,0.5578231292517006,-4.189654742026425,0,top100,1,0,0,0,1
US Open,Hard,3.0,5,147.0,82.0,1.7926829268292683,4.189654742026425,1,outside100,2,0,0,0,1
US Open,Hard,3.0,5,15.0,85.0,0.17647058823529413,-4.2626798770413155,0,top30,2,0,0,0,1
US Open,Hard,3.0,5,85.0,15.0,5.666666666666667,4.2626798770413155,1,top100,2,0,0,0,1
US Open,Hard,3.0,5,28.0,120.0,0.23333333333333334,-4.532599493153256,0,top30,1,0,0,0,1
US Open,Hard,3.0,5,120.0,28.0,4.285714285714286,4.532599493153256,1,outside100,2,0,0,0,1
US Open,Hard,3.0,5,106.0,30.0,3.533333333333333,4.343805421853684,1,outside100,2,1,0,0,1
US Open,Hard,3.0,5,30.0,106.0,0.2830188679245283,-4.343805421853684,0,top30,2,1,0,0,1
US Open,Hard,3.0,5,3.0,112.0,0.026785714285714284,-4.700480365792417,0,top10,1,0,0,0,1
US Open,Hard,3.0,5,112.0,3.0,37.333333333333336,4.700480365792417,1,outside100,1,0,0,0,1
US Open,Hard,3.0,5,6.0,81.0,0.07407407407407407,-4.330733340286331,0,top10,1,0,0,0,1
US Open,Hard,3.0,5,81.0,6.0,13.5,4.330733340286331,1,top100,2,0,0,0,1
US Open,Hard,3.0,5,55.0,34.0,1.6176470588235294,3.091042453358316,1,top100,1,1,0,0,1
US Open,Hard,3.0,5,34.0,55.0,0.6181818181818182,-3.091042453358316,0,top100,1,1,0,0,1
US Open,Hard,3.0,5,78.0,22.0,3.5454545454545454,4.04305126783455,1,top100,2,1,0,0,1
US Open,Hard,3.0,5,22.0,78.0,0.28205128205128205,-4.04305126783455,0,top30,2,1,0,0,1
US Open,Hard,3.0,5,11.0,99.0,0.1111111111111111,-4.48863636973214,0,top30,1,0,0,0,1
US Open,Hard,3.0,5,99.0,11.0,9.0,4.48863636973214,1,top100,2,0,0,0,1
US Open,Hard,3.0,5,75.0,119.0,0.6302521008403361,-3.8066624897703196,0,top100,2,0,0,0,1
US Open,Hard,3.0,5,119.0,75.0,1.5866666666666667,3.8066624897703196,1,outside100,0,0,0,0,1
US Open,Hard,3.0,5,53.0,27.0,1.962962962962963,3.295836866004329,1,top100,2,1,0,0,1
US Open,Hard,3.0,5,27.0,53.0,0.5094339622641509,-3.295836866004329,0,top30,1,1,0,0,1
US Open,Hard,3.0,5,46.0,31.0,1.4838709677419355,2.772588722239781,1,top100,2,1,0,0,1
US Open,Hard,3.0,5,31.0,46.0,0.6739130434782609,-2.772588722239781,0,top100,2,1,0,0,1
US Open,Hard,3.0,5,2.0,48.0,0.041666666666666664,-3.8501476017100584,0,top10,1,0,0,0,1
US Open,Hard,3.0,5,48.0,2.0,24.0,3.8501476017100584,1,top100,2,0,0,0,1
US Open,Hard,3.0,5,1.0,33.0,0.030303030303030304,-3.4965075614664802,0,top10,2,0,0,0,1
US Open,Hard,3.0,5,33.0,1.0,33.0,3.4965075614664802,1,top100,3,0,0,0,1
US Open,Hard,3.0,5,42.0,21.0,2.0,3.091042453358316,1,top100,3,1,0,0,1
US Open,Hard,3.0,5,21.0,42.0,0.5,-3.091042453358316,0,top30,3,1,0,0,1
US Open,Hard,3.0,5,14.0,44.0,0.3181818181818182,-3.4339872044851463,0,top30,4,0,0,0,1
US Open,Hard,3.0,5,44.0,14.0,3.142857142857143,3.4339872044851463,1,top100,4,0,0,0,1
US Open,Hard,3.0,5,8.0,41.0,0.1951219512195122,-3.5263605246161616,0,top10,2,0,0,0,1
US Open,Hard,3.0,5,41.0,8.0,5.125,3.5263605246161616,1,top100,4,0,0,0,1
US Open,Hard,3.0,5,4.0,72.0,0.05555555555555555,-4.23410650459726,0,top10,2,0,0,0,1
US Open,Hard,3.0,5,72.0,4.0,18.0,4.23410650459726,1,top100,2,0,0,0,1
US Open,Hard,3.0,5,37.0,60.0,0.6166666666666667,-3.1780538303479458,0,top100,3,0,0,0,1
US Open,Hard,3.0,5,60.0,37.0,1.6216216216216217,3.1780538303479458,1,top100,4,0,0,0,1
US Open,Hard,3.0,5,10.0,20.0,0.5,-2.3978952727983707,0,top10,4,0,0,0,1
US Open,Hard,3.0,5,20.0,10.0,2.0,2.3978952727983707,1,top30,2,0,0,0,1
US Open,Hard,3.0,5,5.0,38.0,0.13157894736842105,-3.5263605246161616,0,top10,3,0,0,0,1
US Open,Hard,3.0,5,38.0,5.0,7.6,3.5263605246161616,1,top100,2,0,0,0,1
US Open,Hard,3.0,5,7.0,54.0,0.12962962962962962,-3.871201010907891,0,top10,2,0,0,0,1
US Open,Hard,3.0,5,54.0,7.0,7.714285714285714,3.871201010907891,1,top100,4,0,0,0,1
US Open,Hard,3.0,5,66.0,82.0,0.8048780487804879,-2.833213344056216,0,top100,4,0,0,0,1
US Open,Hard,3.0,5,82.0,66.0,1.2424242424242424,2.833213344056216,1,top100,3,0,0,0,1
US Open,Hard,3.0,5,15.0,28.0,0.5357142857142857,-2.6390573296152584,0,top30,3,0,0,0,1
US Open,Hard,3.0,5,28.0,15.0,1.8666666666666667,2.6390573296152584,1,top30,2,0,0,0,1
US Open,Hard,3.0,5,3.0,106.0,0.02830188679245283,-4.6443908991413725,0,top10,3,0,0,0,1
US Open,Hard,3.0,5,106.0,3.0,35.333333333333336,4.6443908991413725,1,outside100,4,0,0,0,1
US Open,Hard,3.0,5,6.0,55.0,0.10909090909090909,-3.912023005428146,0,top10,2,0,0,0,1
US Open,Hard,3.0,5,55.0,6.0,9.166666666666666,3.912023005428146,1,top100,3,0,0,0,1
US Open,Hard,3.0,5,11.0,78.0,0.14102564102564102,-4.219507705176107,0,top30,3,0,0,0,1
US Open,Hard,3.0,5,78.0,11.0,7.090909090909091,4.219507705176107,1,top100,4,0,0,0,1
US Open,Hard,3.0,5,53.0,75.0,0.7066666666666667,-3.1354942159291497,0,top100,4,0,0,0,1
US Open,Hard,3.0,5,75.0,53.0,1.4150943396226414,3.1354942159291497,1,top100,4,0,0,0,1
US Open,Hard,3.0,5,46.0,2.0,23.0,3.8066624897703196,1,top100,4,1,0,0,1
US Open,Hard,3.0,5,2.0,46.0,0.043478260869565216,-3.8066624897703196,0,top10,3,1,0,0,1
US Open,Hard,3.0,5,1.0,42.0,0.023809523809523808,-3.7376696182833684,0,top10,3,0,0,0,1
US Open,Hard,3.0,5,42.0,1.0,42.0,3.7376696182833684,1,top100,4,0,0,0,1
US Open,Hard,3.0,5,8.0,14.0,0.5714285714285714,-1.9459101490553132,0,top10,3,0,0,0,1
US Open,Hard,3.0,5,14.0,8.0,1.75,1.9459101490553132,1,top30,5,0,0,0,1
US Open,Hard,3.0,5,4.0,37.0,0.10810810810810811,-3.5263605246161616,0,top10,3,0,0,0,1
US Open,Hard,3.0,5,37.0,4.0,9.25,3.5263605246161616,1,top100,4,0,0,0,1
US Open,Hard,3.0,5,5.0,10.0,0.5,-1.791759469228055,0,top10,5,0,0,0,1
US Open,Hard,3.0,5,10.0,5.0,2.0,1.791759469228055,1,top10,6,0,0,0,1
